MarketID_period,eq_price
181500301,110
181600101,115
181700101,105
181700102,105
181700103,105
181900101,112
181900201,112
181900301,112
181900401,112
181900501,112
182400101,109
182700101,110
182700301,108
182900101,120
182900102,120
182900103,120
182900104,120
183000101,108
183000201,108
183000301,108
183000401,108
183000501,108
183300101,100
183300102,98
183300103,98
183300104,98
183300105,98
183400101,114
183400201,114
183400301,114
183400401,114
183400501,114
183400601,114
183400701,114
183400801,114
183400901,114
183401001,114
183401101,114
183401201,114
183401401,110
183500101,110
183700101,112
183700102,112
183700103,112
183700201,112
183700202,112
183700203,112
183700301,112
183700302,112
183700303,112
183700401,112
183700402,112
183700403,112
183700501,112
183700502,112
183700503,112
183700601,107
183700602,108
183700603,112
183800101,120
183800201,120
184000101,100
184300101,112
184400101,112
184400201,112
184400301,112
184400401,112
184500101,124
184500201,124
184500401,124
184700101,100
184800101,100
185200101,110
185200201,100
185400101,65
185400102,65
185400201,65
185400202,65
185400301,57
185400302,57
185500101,96
185500102,96
185500201,96
185500202,96
185500301,96
185500302,96
185500401,96
185500402,96
185500501,96
185500502,96
185600101,78
185600201,78
185600301,78
185600401,78
185600501,78
185600601,78
185600701,78
185600801,78
185600901,78
185601001,78
185601101,79
185700101,112
185700201,112
185700301,112
185800101,5
186100101,120
186100102,120
186100103,120
186100104,120
186200101,113
186300101,110
186300102,110
186300103,110
186300301,112
186300302,112
186500101,95
186700101,112
186700201,108
186800101,107
186800201,107
186800301,107
186800401,99
187300101,103
187300102,103
187300103,103
187300201,103
187300202,103
187300203,103
187300301,103
187300302,103
187300303,103
187300401,98
187300402,103
187300403,103
187600101,112
187600201,112
187600301,112
187800101,99
187800201,99
187800301,99
187800401,99
187800501,99
187800601,99
187800701,99
187900101,96
187900201,96
187900301,96
187900401,96
187900402,96
187900501,96
187900601,94
188000101,72
188000102,72
188000201,72
188000202,72
188300101,78
188300102,78
188300201,78
188300202,78
188300301,78
188300302,78
188300401,78
188300402,78
188300501,78
188300502,78
188400101,112
188400201,112
188400301,112
188400401,108
188500101,99
188700101,108
188700102,108
188700103,108
188700201,108
188700202,108
188700203,108
188700301,108
188700302,108
188700303,108
188800101,100
188800102,100
188900101,112
188900102,112
188900201,112
188900202,112
188900301,112
188900302,112
188900401,112
188900402,112
188900501,112
188900502,112
188900601,112
188900602,112
188900701,112
188900702,112
188900801,112
188900802,112
188900901,112
188900902,112
188901001,112
188901002,112
188901101,112
188901102,112
188901201,112
188901202,112
188901301,112
188901302,112
188901401,112
188901402,112
188901501,112
188901502,112
188901601,112
188901602,112
188901701,112
188901702,112
188901801,112
188901802,112
188901901,112
188901902,112
188902001,112
188902002,112
188902101,112
188902102,112
188902201,112
188902202,112
188902301,112
188902302,112
188902401,112
188902402,112
188902501,112
188902502,112
188902601,112
188902602,112
188902701,112
188902702,112
188902801,112
188902802,112
188902901,112
188902902,112
188903001,112
188903002,112
188903101,112
188903102,112
188903201,112
188903202,112
188903301,112
188903302,112
188903401,112
188903402,112
188903501,112
188903502,112
188903601,112
188903602,112
188903701,112
188903702,112
188903801,112
188903802,112
188904001,112
188904002,112
188904101,112
188904102,112
189100101,247
189100201,247
189100301,247
189200101,95
189200102,95
189200201,95
189200202,95
189200301,95
189200302,95
189200401,95
189200402,95
189200501,95
189200502,95
189300101,133
189300102,133
189300103,133
189500101,78
189500102,78
189500201,78
189500202,78
189500301,78
189500302,78
189500401,78
189500402,78
189500501,78
189500502,78
189500601,78
189500602,78
189600101,96
189800101,116
189800201,116
189800301,112
190000101,100
190000201,100
190000301,100
190000401,100
190200101,91
190200102,91
190200103,91
190400101,110
190400201,110
190400301,110
190600101,107
190600201,107
190600301,107
190600401,107
190600501,107
190700101,100
190900101,115
191100101,112
191100201,112
191100301,112
191100401,112
191100501,112
191100601,112
191100701,112
191100801,97
191200101,112
191200201,112
